AVar1;AVar2;AVar3;AVar4;AVar5;BVar1;BVar2;BVar3;BVar4;BVar5;CVar1;CVar2;CVar3;CVar4;CVar5;DVar1;DVar2;DVar3;DVar4;DVar5;A;B;C;D;contVar1;contVar2;contVar3;contVar4;contVar5;wokr_ex;bin1;bin2;age;indVar1;indVar2;inCVar3;proba
4;5;5;4;3;2;5;4;2;2;4;5;5;4;4;5;4;1;4;2;4;2;4;4;100;44;63;39;453;15;1;0;35-44;1;Tak;C;A
5;4;4;4;4;2;4;4;4;2;3;4;4;5;4;4;4;5;2;3;4;4;4;4;81;49;62;28;428;46;0;0;65+;1;Nie;C;C
4;4;4;5;4;5;5;4;4;4;2;3;2;4;2;4;5;2;2;2;4;4;2;2;69;45;44;26;385;30;1;0;55-64;2;Nie;C;C
5;5;5;5;5;5;5;4;5;4;4;4;5;4;3;4;4;5;4;4;5;5;4;4;70;43;58;30;427;32;0;1;55-64;1;Tak;A;A
4;4;5;4;2;4;5;4;4;3;4;4;4;4;4;4;4;5;3;3;4;4;4;4;56;40;43;21;359;6;1;1;25-34;1;Nie;C;B
5;5;4;5;4;4;4;5;4;4;4;4;4;3;4;4;4;4;4;3;5;4;4;4;77;51;68;21;399;16;1;0;35-44;2;Nie;C;B
5;2;3;4;4;4;5;5;4;4;3;1;1;1;1;2;2;3;5;5;4;4;1;3;63;38;42;23;350;2;0;1;25-34;2;Tak;C;D
4;4;4;2;4;2;4;4;4;2;3;1;1;3;1;3;2;1;1;1;4;4;1;1;100;56;69;44;607;33;1;0;55-64;1;Nie;B;C
2;2;1;2;4;4;4;4;4;2;1;2;4;2;1;2;2;1;2;2;2;4;2;2;95;61;83;66;603;30;1;0;55-64;1;Tak;B;A
4;2;1;2;4;1;1;2;2;1;4;2;2;2;2;2;3;5;1;1;2;1;2;2;52;39;49;24;351;30;1;1;45-54;2;Nie;B;D
2;1;1;1;1;4;4;2;2;2;1;3;2;2;2;1;1;1;2;1;1;2;2;1;63;51;56;38;447;20;1;0;45-54;2;Nie;B;D
4;3;2;2;1;1;2;1;2;1;4;3;3;3;3;2;2;3;2;2;2;1;3;2;96;50;48;33;435;40;0;0;65+;2;Nie;B;C
5;4;4;5;3;4;4;5;3;3;4;2;2;3;3;4;4;3;5;5;4;4;3;4;84;30;59;24;362;1;1;1;25-34;2;Nie;C;C
4;3;2;4;2;1;4;4;2;1;4;3;2;2;2;3;2;4;2;2;3;2;2;2;82;49;71;39;604;16;1;0;55-64;1;Nie;B;D
4;4;4;4;2;2;2;2;3;2;3;4;4;3;3;1;4;4;2;2;4;2;3;2;85;60;57;55;599;20;0;0;45-54;1;Nie;C;B
5;4;4;5;5;4;5;5;5;5;3;3;4;4;4;4;4;3;3;5;5;5;4;4;93;62;55;39;477;25;1;0;55-64;1;Nie;C;D
5;5;5;5;4;4;4;2;3;2;1;2;2;2;2;4;4;1;4;3;5;3;2;4;88;63;55;48;514;40;1;0;55-64;1;Nie;C;D
4;5;5;5;3;5;3;5;5;5;3;2;4;3;2;5;5;3;5;3;5;5;3;5;61;58;72;42;437;2;0;1;25-34;1;Nie;C;A
5;4;4;2;2;5;1;4;3;2;2;4;4;1;1;1;1;1;1;1;4;3;2;1;74;30;50;24;343;11;0;1;35-44;2;Nie;B;A
1;2;1;1;3;4;4;4;3;4;3;3;4;3;3;1;1;3;3;3;1;4;3;3;72;47;64;37;410;15;0;0;35-44;2;Nie;B;A
5;5;4;1;3;1;5;5;3;3;5;1;3;1;1;1;4;5;5;5;4;3;1;5;88;53;65;43;556;43;1;0;65+;1;Tak;C;A
4;4;4;4;4;5;5;4;4;5;5;5;5;5;5;4;4;4;5;5;4;5;5;4;45;39;45;19;299;12;0;0;35-44;2;Nie;A;D
2;1;1;3;2;4;4;5;3;4;3;5;5;5;5;1;3;5;2;3;2;4;5;3;91;45;70;55;482;13;0;0;35-44;2;Nie;A;D
4;5;4;4;4;4;4;4;3;2;3;4;5;3;2;4;3;3;3;3;4;4;3;3;43;39;46;39;350;35;1;0;55-64;1;Tak;A;A
5;5;4;3;3;4;2;4;5;4;4;3;4;3;2;2;3;4;2;2;4;4;3;2;89;69;95;46;656;18;1;0;35-44;1;Nie;B;C
1;1;1;1;3;4;3;1;2;3;4;2;3;4;3;2;1;3;2;1;1;3;3;2;64;48;58;20;368;20;0;1;45-54;2;Nie;B;C
5;4;4;5;4;2;2;4;4;4;3;5;5;5;5;5;5;2;5;5;4;4;5;5;49;36;46;19;361;24;1;0;45-54;2;Tak;A;C
4;4;3;3;4;2;3;4;4;3;2;3;3;3;3;2;3;2;3;3;4;3;3;3;62;49;51;34;422;44;0;0;65+;1;Tak;A;D
4;4;4;5;4;4;4;4;5;4;3;3;4;4;4;4;4;2;2;4;4;4;4;4;89;62;75;43;595;20;0;0;45-54;2;Nie;A;D
4;5;5;4;4;3;4;5;4;4;3;4;4;3;4;4;4;3;4;4;4;4;4;4;65;45;41;30;396;12;1;1;35-44;2;Nie;A;A
4;4;4;5;4;4;5;5;4;4;5;4;5;5;5;5;5;5;5;5;4;4;5;5;58;37;47;22;346;14;1;1;35-44;2;Nie;A;A
4;4;5;4;5;4;5;4;4;4;5;4;4;5;5;5;5;4;4;5;4;4;5;5;75;47;53;39;479;10;1;0;35-44;2;Nie;C;C
4;5;2;5;5;4;5;4;4;4;3;5;5;3;4;5;5;2;5;4;5;4;4;5;52;25;41;14;278;24;0;1;55-64;1;Nie;A;B
4;4;4;5;2;4;4;4;3;2;5;5;5;5;4;2;4;5;5;5;4;4;5;5;68;49;67;53;460;35;1;1;55-64;1;Tak;C;D
4;4;4;4;4;4;3;4;2;2;3;3;4;3;3;4;4;4;2;2;4;3;3;4;82;46;82;25;538;16;1;0;35-44;2;Nie;A;A
5;4;2;5;4;5;5;5;4;4;4;4;4;3;3;5;5;4;2;3;4;5;4;4;56;35;38;19;317;6;1;1;25-34;1;Nie;B;C
2;4;2;2;3;2;2;4;4;2;3;4;3;3;3;2;4;3;3;3;2;2;3;3;56;37;43;13;313;36;1;1;55-64;1;Nie;A;B
4;4;4;4;3;4;4;3;3;4;3;4;4;4;4;4;4;3;3;3;4;4;4;3;71;57;57;31;424;15;0;0;35-44;2;Nie;B;A
4;4;4;4;4;1;4;2;2;1;2;3;2;4;2;2;4;2;4;3;4;2;2;3;153;99;91;55;822;34;1;0;55-64;2;Nie;B;B
2;2;2;2;2;2;4;4;1;2;4;3;4;2;2;2;2;4;2;2;2;2;3;2;86;78;77;67;704;35;0;0;65+;1;Nie;B;C
4;4;4;4;4;4;4;4;4;2;4;2;4;2;2;4;4;4;2;2;4;4;2;4;46;39;38;17;292;6;1;0;35-44;2;Nie;B;C
4;4;4;3;4;5;5;5;5;4;1;1;1;2;1;3;3;4;2;2;4;5;1;3;80;43;67;25;457;18;1;0;45-54;1;Nie;B;C
4;4;4;4;4;2;4;4;4;2;3;2;4;3;2;4;4;2;4;4;4;4;3;4;66;49;73;50;433;17;1;0;35-44;2;Nie;B;D
4;4;4;4;4;4;4;4;4;4;5;3;4;3;3;4;4;4;4;4;4;4;3;4;83;80;62;70;584;7;1;1;35-44;2;Tak;A;B
2;2;2;4;3;5;5;5;3;5;4;4;4;3;5;5;4;4;2;1;2;5;4;4;79;38;46;31;387;6;0;0;25-34;2;Tak;A;A
2;2;3;4;4;4;4;4;4;4;4;2;4;3;3;4;4;3;1;1;3;4;3;3;75;58;93;38;573;5;0;0;25-34;2;Nie;B;C
2;2;4;5;3;4;4;4;4;3;4;2;3;3;3;2;4;4;4;4;3;4;3;4;139;59;105;55;645;29;0;0;45-54;1;Nie;B;C
5;5;5;5;5;4;4;5;5;5;4;4;4;4;3;5;5;4;5;5;5;5;4;5;63;47;55;36;436;1;1;0;25-34;1;Tak;A;D
4;4;4;4;4;4;2;3;2;2;2;2;4;4;2;2;4;4;2;2;4;2;2;2;65;51;56;34;433;20;0;0;35-44;2;Tak;A;B
4;4;4;4;3;5;4;4;3;4;2;2;2;2;2;3;4;2;3;3;4;4;2;3;166;73;118;99;822;7;0;0;35-44;2;Nie;B;B
5;4;4;5;3;5;4;5;4;4;2;5;4;4;5;3;5;1;5;5;4;4;4;5;240;121;164;117;1253;4;0;0;25-34;1;Nie;B;C
5;3;4;4;2;5;4;4;3;5;2;1;1;1;1;2;4;4;3;4;4;4;1;4;90;56;78;37;543;3;1;0;25-34;1;Nie;A;C
5;4;4;4;4;4;4;4;4;4;4;3;3;4;3;4;4;3;4;4;4;4;3;4;97;50;66;34;415;14;1;0;35-44;2;Nie;A;C
5;5;5;5;5;5;5;5;5;5;5;4;3;4;2;5;5;4;5;5;5;5;4;5;99;70;103;47;620;13;0;0;35-44;2;Nie;A;C
2;1;4;2;4;4;4;4;4;3;3;1;4;3;1;2;4;1;4;2;2;4;3;2;73;47;51;21;473;26;1;0;45-54;1;Nie;A;B
5;5;5;5;5;5;5;5;5;4;2;2;4;3;2;5;5;1;5;4;5;5;2;5;78;55;63;35;448;24;0;0;55-64;1;Tak;A;C
5;5;5;4;4;5;5;5;5;5;1;4;5;5;4;4;4;1;5;5;5;5;4;4;75;65;60;37;468;21;1;0;45-54;1;Nie;A;C
4;4;4;5;5;4;4;5;4;4;1;1;2;4;2;2;5;1;5;5;4;4;2;5;119;75;66;57;632;39;1;0;55-64;1;Nie;A;A
4;4;4;4;4;4;4;4;4;4;3;4;4;4;1;2;3;2;2;1;4;4;4;2;116;60;77;36;511;2;1;0;25-34;2;Tak;C;C
5;5;5;5;5;4;4;5;5;4;3;5;5;5;5;5;5;2;5;4;5;4;5;5;43;32;39;21;335;17;1;0;35-44;2;Tak;A;B
4;4;3;4;4;4;4;4;4;4;3;2;2;2;2;3;4;3;2;2;4;4;2;3;70;38;45;25;374;21;0;1;45-54;1;Tak;A;B
5;4;4;5;5;5;5;5;5;5;5;3;4;4;3;5;5;4;4;4;5;5;4;4;83;39;50;50;433;24;1;0;45-54;1;Nie;A;A
5;5;5;4;4;4;4;5;4;4;2;2;4;2;2;5;5;4;5;3;5;4;2;5;53;37;33;23;309;35;0;0;55-64;1;Nie;A;C
4;4;4;4;5;5;5;5;5;5;3;4;5;5;5;5;5;3;4;4;4;5;5;4;79;38;55;38;366;9;1;1;35-44;2;Nie;A;D
5;4;4;4;4;3;4;4;3;4;3;3;3;4;2;2;2;4;4;4;4;4;3;4;69;74;79;53;555;20;0;1;45-54;1;Tak;A;C
4;4;4;4;5;5;5;5;5;5;1;4;4;4;4;4;4;1;4;3;4;5;4;4;91;57;43;56;484;13;0;1;35-44;2;Nie;C;B
4;4;4;5;4;4;4;5;5;4;3;3;4;3;3;4;4;4;3;3;4;4;3;4;48;49;38;16;390;31;1;0;55-64;2;Nie;C;C
4;4;4;4;4;4;4;4;4;3;3;3;3;3;3;1;4;3;2;2;4;4;3;2;98;62;90;47;633;27;1;0;45-54;1;Nie;B;D
4;4;4;4;3;4;2;4;3;2;3;4;4;3;4;4;4;2;4;3;4;3;4;4;71;55;76;54;585;35;1;0;55-64;1;Tak;B;C
5;5;5;5;5;5;5;5;5;5;5;4;5;5;5;4;4;4;5;5;5;5;5;4;94;45;66;27;511;16;1;0;35-44;2;Nie;C;D
4;4;4;5;5;4;5;5;5;4;4;4;4;4;4;4;4;4;5;5;4;5;4;4;99;71;67;58;653;22;1;0;45-54;1;Nie;B;B
4;4;4;3;4;4;5;5;3;4;2;2;4;3;3;3;4;2;4;4;4;4;3;4;103;67;63;49;525;24;1;0;45-54;2;Nie;C;C
4;3;4;4;3;5;5;5;4;5;4;1;4;3;1;2;4;4;1;1;4;5;3;2;68;52;57;30;374;20;0;1;45-54;2;Nie;A;D
4;4;4;4;4;2;4;4;3;4;5;4;4;4;4;4;4;5;3;4;4;4;4;4;106;74;82;86;810;20;1;0;45-54;1;Tak;B;D
5;4;4;5;5;5;5;5;5;5;1;4;4;5;5;4;4;1;4;4;5;5;4;4;90;60;95;34;624;13;1;0;55-64;2;Nie;B;B
2;2;5;5;5;5;5;5;5;5;4;5;5;5;5;5;5;4;5;3;5;5;5;5;99;77;81;38;589;13;0;0;35-44;2;Nie;B;D
4;4;2;4;4;5;5;5;4;4;5;4;4;4;4;4;4;5;4;5;4;5;4;4;95;60;77;80;715;10;0;0;35-44;1;Nie;C;D
5;4;5;4;4;5;5;5;5;5;2;2;3;3;4;4;4;1;2;2;4;5;3;2;158;126;168;107;1054;5;0;0;25-34;2;Nie;A;C
4;4;2;4;4;4;4;4;4;4;2;2;3;3;3;4;4;3;5;4;4;4;3;4;77;50;66;20;427;12;0;0;35-44;2;Nie;C;C
5;5;5;5;4;5;5;5;4;4;5;4;5;4;4;5;5;5;4;4;5;5;4;5;66;66;59;41;501;3;1;1;35-44;1;Nie;C;C
5;4;5;5;5;4;5;4;4;3;4;3;5;5;5;3;4;5;4;4;5;4;5;4;128;94;115;58;709;41;0;0;65+;1;Nie;C;C
2;4;2;3;4;4;4;4;4;4;3;2;4;3;2;2;4;4;2;3;3;4;3;3;53;30;25;20;308;20;0;0;35-44;1;Nie;A;B
5;5;5;5;5;5;5;5;5;4;5;3;5;4;4;5;5;4;5;5;5;5;4;5;32;35;32;14;286;20;1;0;45-54;1;Nie;C;B
3;3;4;3;3;4;4;4;3;3;3;3;3;3;3;3;4;3;2;2;3;4;3;3;91;82;47;70;567;19;0;1;35-44;2;Nie;C;D
1;1;4;4;2;2;4;5;3;4;4;1;1;3;1;1;2;2;3;4;2;4;1;2;79;62;48;42;469;31;1;1;45-54;2;Nie;A;C
4;4;3;4;4;4;3;5;3;3;3;3;5;3;4;3;3;2;3;3;4;3;3;3;43;38;44;36;365;3;0;0;35-44;1;Nie;C;C
5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;3;4;5;5;5;5;85;46;65;43;431;25;0;0;45-54;1;Tak;A;A
5;5;5;5;5;4;4;4;4;4;4;3;4;3;3;5;5;4;5;4;5;4;3;5;38;37;35;24;325;19;0;0;45-54;1;Tak;A;A
4;2;4;2;3;4;4;3;3;3;2;3;3;3;2;2;3;2;2;2;3;3;3;2;47;35;37;21;336;6;1;0;35-44;2;Nie;B;A
5;4;4;5;5;5;5;5;5;5;4;4;5;5;5;5;5;4;4;4;5;5;5;4;45;43;46;20;349;20;1;0;45-54;2;Nie;A;C
5;5;5;5;5;5;5;5;5;5;3;2;5;5;1;5;5;4;1;1;5;5;3;4;61;52;49;25;400;20;1;1;45-54;2;Nie;B;B
5;5;5;5;5;4;5;4;5;4;3;5;5;5;5;4;5;1;5;5;5;4;5;5;60;31;35;22;374;27;1;1;45-54;1;Tak;C;B
4;5;2;4;4;4;4;4;3;3;4;4;4;3;2;5;4;1;2;3;4;4;4;3;95;49;81;33;520;21;0;0;45-54;2;Nie;C;C
5;5;5;4;5;5;5;5;5;5;5;3;5;5;5;5;5;5;4;5;5;5;5;5;101;58;81;29;491;1;1;0;25-34;2;Nie;A;C
4;3;3;3;4;4;3;4;4;5;3;3;3;3;3;2;3;3;1;1;3;4;3;2;80;43;69;30;474;5;0;0;25-34;2;Nie;C;C
2;3;2;4;4;5;5;5;4;4;4;4;4;4;4;2;2;4;4;3;3;5;4;3;89;45;58;34;494;21;0;0;45-54;1;Nie;A;D
2;4;4;3;4;4;4;4;4;3;1;1;1;1;1;3;3;1;5;3;4;4;1;3;54;38;35;32;368;10;0;0;35-44;2;Nie;B;C
4;4;2;4;4;5;5;5;5;5;3;3;3;3;3;3;4;2;3;3;4;5;3;3;88;74;78;42;552;20;1;0;35-44;2;Nie;A;A
2;2;2;3;2;2;4;4;2;1;2;2;4;3;2;3;3;3;2;2;2;2;2;3;45;49;58;22;356;33;0;0;55-64;1;Tak;B;D
5;5;5;5;5;4;3;4;4;3;5;3;5;3;1;4;4;5;3;3;5;4;3;4;128;120;144;97;983;30;0;0;55-64;1;Nie;C;C
5;5;5;4;2;5;4;4;5;4;3;4;4;3;4;3;2;3;2;2;5;4;4;2;57;40;46;18;303;6;0;1;35-44;2;Tak;C;B
5;4;4;5;5;5;5;4;5;4;3;4;4;5;3;5;5;3;4;4;5;5;4;4;61;49;57;50;476;26;1;1;45-54;1;Tak;A;A
4;4;4;5;4;4;4;4;4;4;4;3;3;2;3;3;4;2;3;4;4;4;3;3;94;55;64;34;431;27;0;0;45-54;2;Nie;C;A
2;2;2;2;3;4;4;3;3;3;3;3;4;3;3;2;2;2;2;2;2;3;3;2;81;45;54;48;429;7;1;0;25-34;2;Nie;B;C
4;4;4;4;4;4;4;4;4;2;3;2;4;3;3;3;4;4;2;2;4;4;3;3;76;44;47;39;496;42;0;0;65+;1;Tak;C;C
2;2;1;3;4;4;4;4;3;3;3;3;4;3;3;1;2;4;3;2;2;4;3;2;62;44;56;36;429;40;0;1;55-64;1;Tak;B;D
4;4;2;2;2;5;5;5;5;5;4;2;2;4;1;2;2;1;2;2;2;5;2;2;93;62;75;46;552;10;1;1;35-44;2;Tak;B;C
1;3;4;4;3;2;5;5;3;3;5;3;5;5;5;3;1;5;2;3;3;3;5;3;65;37;51;30;341;25;0;1;55-64;2;Nie;A;D
4;5;4;5;5;5;5;5;5;5;2;3;3;3;3;5;4;2;3;2;5;5;3;3;91;67;78;31;511;19;0;0;45-54;1;Tak;B;B
4;5;2;4;2;2;4;4;2;2;5;4;5;5;4;2;4;5;4;4;4;2;5;4;61;36;53;21;350;30;1;1;45-54;1;Nie;A;D
4;4;4;4;4;2;4;4;4;3;3;1;4;3;2;4;4;4;2;1;4;4;3;4;48;33;36;24;302;44;0;0;65+;1;Tak;C;C
2;4;4;5;5;5;5;5;5;4;3;1;1;1;1;5;5;1;5;5;4;5;1;5;113;64;103;63;671;16;1;0;35-44;1;Tak;C;A
4;4;4;3;4;4;4;4;3;3;2;3;3;3;3;4;4;1;3;3;4;4;3;3;70;35;48;16;340;5;0;1;35-44;2;Nie;B;D
4;4;4;3;4;4;5;5;4;4;5;5;5;5;5;4;3;5;4;4;4;4;5;4;53;42;65;41;462;44;0;1;65+;1;Tak;A;C
4;4;5;5;4;4;4;4;5;3;4;3;3;3;3;5;4;4;5;5;4;4;3;5;118;63;71;36;503;41;0;0;55-64;1;Tak;A;A
4;4;4;4;5;4;4;4;5;4;4;4;5;5;4;5;4;3;4;5;4;4;4;4;101;59;69;34;532;4;1;0;25-34;2;Nie;A;B
1;1;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;107;49;55;68;547;11;0;0;35-44;2;Nie;A;C
5;5;5;5;4;4;5;5;4;3;3;4;4;4;3;5;5;2;3;3;5;4;4;3;115;47;79;61;604;20;0;0;45-54;2;Nie;C;B
4;4;4;4;4;4;4;4;4;4;2;2;2;2;2;4;4;5;4;3;4;4;2;4;101;55;94;54;581;14;0;0;35-44;2;Nie;C;C
3;3;3;3;3;2;4;4;3;3;4;3;5;5;4;3;4;5;3;3;3;3;4;3;106;43;79;37;544;14;1;0;35-44;1;Tak;C;A
5;5;5;5;5;5;5;5;5;5;2;4;5;5;4;5;5;4;4;4;5;5;4;4;104;73;78;62;526;12;1;1;45-54;1;Tak;A;D
4;4;2;4;4;5;4;5;5;5;1;1;1;1;1;2;4;3;2;3;4;5;1;3;59;27;38;19;291;13;1;1;35-44;1;Nie;B;B
5;5;5;5;4;5;5;5;4;3;3;3;3;3;3;5;5;3;2;3;5;5;3;3;84;59;69;32;492;32;0;0;55-64;1;Nie;C;B
2;2;4;4;4;2;4;4;2;2;4;1;1;1;1;2;2;2;4;4;4;2;1;2;75;42;56;34;354;7;1;1;35-44;2;Nie;B;C
2;2;2;2;2;2;4;4;2;4;4;2;4;4;4;2;2;4;2;2;2;4;4;2;71;55;60;52;481;21;0;1;45-54;1;Tak;B;C
4;4;4;4;4;4;4;5;5;5;3;4;4;4;4;2;4;3;4;4;4;5;4;4;89;36;70;38;409;29;0;0;45-54;1;Tak;C;C
4;5;4;5;4;5;3;5;3;5;3;1;2;3;3;4;4;1;5;5;4;5;3;4;110;69;113;67;735;14;1;0;35-44;2;Nie;C;D
4;4;4;5;3;4;3;4;5;4;2;2;2;2;2;4;5;2;4;3;4;4;2;4;108;65;75;25;519;3;1;0;25-34;1;Nie;C;C
5;4;4;4;4;4;4;5;4;3;3;2;2;3;1;4;4;3;3;4;4;4;2;4;58;38;48;27;386;20;1;0;45-54;1;Tak;C;B
3;4;3;3;2;4;4;4;2;3;3;3;4;3;3;2;3;5;4;4;3;4;3;4;126;70;90;66;589;25;0;0;45-54;1;Tak;A;C
4;4;4;4;5;3;4;4;4;2;3;3;4;4;3;4;5;3;5;3;4;4;3;4;99;47;74;45;467;44;0;0;65+;1;Nie;C;A
4;4;2;2;4;4;4;4;4;4;2;2;2;4;2;1;3;1;2;2;4;4;2;2;63;51;46;30;426;20;0;1;45-54;2;Nie;C;D
1;2;1;1;5;5;5;4;5;5;2;2;3;2;1;1;1;1;1;2;1;5;2;1;105;67;75;38;579;32;1;0;55-64;1;Tak;B;C
5;5;5;5;4;4;4;4;4;4;4;4;4;4;3;5;4;4;5;5;5;4;4;5;108;46;79;42;486;2;1;0;25-34;1;Nie;A;B
4;5;4;4;4;2;4;3;3;3;2;4;5;4;4;4;4;1;4;4;4;3;4;4;63;55;54;51;450;29;0;1;45-54;1;Nie;A;B
4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;58;33;53;21;374;6;1;1;35-44;1;Nie;A;A
2;1;3;2;4;2;4;2;3;1;3;3;2;3;2;2;4;4;2;1;2;2;3;2;86;75;63;36;611;32;1;0;55-64;1;Tak;B;C
5;5;5;5;4;3;4;5;4;4;4;4;5;4;5;3;5;3;5;5;5;4;4;5;65;32;58;16;373;18;0;1;45-54;2;Tak;A;A
2;4;4;4;4;4;5;5;4;4;4;2;4;4;2;2;4;4;5;5;4;4;4;4;64;46;38;30;321;12;1;0;45-54;1;Tak;A;D
4;5;5;5;5;4;4;5;4;4;5;2;3;3;3;4;5;5;5;5;5;4;3;5;60;58;46;43;448;29;1;1;45-54;1;Nie;A;B
4;4;4;4;4;4;4;4;4;3;3;3;4;4;3;4;4;3;3;4;4;4;3;4;54;51;45;40;470;16;1;1;35-44;1;Nie;C;D
5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;4;5;5;5;5;5;5;85;37;53;38;373;28;0;0;45-54;1;Nie;A;C
5;5;5;4;5;5;5;5;5;5;4;5;5;5;5;4;4;2;5;4;5;5;5;4;117;65;89;42;616;12;1;0;35-44;2;Nie;C;D
1;1;4;1;1;1;1;2;1;1;3;1;5;2;3;1;3;5;1;1;1;1;3;1;107;89;108;58;639;35;0;0;55-64;1;Nie;B;C
4;5;4;5;4;4;4;4;4;4;4;3;4;4;4;4;5;4;5;5;4;4;4;5;43;54;41;32;379;13;1;0;35-44;2;Nie;A;C
4;4;4;5;4;4;4;4;4;4;3;3;4;3;3;4;5;4;4;3;4;4;3;4;98;68;92;56;632;10;1;0;35-44;1;Nie;A;D
5;4;5;5;5;5;5;5;5;5;2;4;4;4;2;5;4;3;5;5;5;5;4;5;81;43;61;45;484;1;1;0;25-34;2;Nie;A;C
2;2;2;4;3;4;4;4;3;3;3;2;2;2;2;3;3;2;2;2;2;4;2;2;59;37;44;30;328;20;0;0;35-44;2;Nie;B;B
4;4;4;4;4;5;5;5;4;4;3;4;4;4;3;4;4;1;3;3;4;5;4;3;92;73;112;65;706;35;0;0;55-64;2;Nie;C;D
4;4;2;1;3;4;4;5;4;3;3;1;1;1;1;2;2;3;2;2;3;4;1;2;43;29;27;16;260;9;0;0;45-54;2;Nie;B;C
4;4;4;4;4;4;4;5;4;4;3;3;5;3;3;4;4;4;5;5;4;4;3;4;112;69;75;79;678;25;1;0;45-54;2;Tak;A;D
4;2;4;2;2;4;4;4;5;4;3;4;1;3;1;4;4;3;4;4;2;4;3;4;47;18;35;16;232;7;0;1;35-44;2;Nie;C;C
5;4;5;4;4;2;4;5;4;4;3;1;3;3;3;2;4;3;1;1;4;4;3;2;64;34;44;18;333;3;1;1;35-44;1;Nie;B;A
5;5;4;5;5;5;5;5;4;4;5;5;5;5;4;4;5;5;4;5;5;5;5;5;54;30;29;14;285;20;0;0;65+;1;Nie;A;D
4;4;4;2;4;4;4;4;4;3;3;4;4;4;3;4;3;4;4;4;4;4;4;4;129;93;88;47;664;30;1;0;55-64;1;Tak;C;C
4;3;4;4;3;5;5;5;5;5;3;1;2;3;1;3;3;4;3;3;4;5;2;3;73;57;57;39;512;9;1;1;25-34;2;Nie;C;C
5;5;5;5;4;5;4;4;3;4;4;3;4;4;3;4;5;4;5;4;5;4;4;4;87;49;78;45;517;27;0;0;45-54;1;Nie;A;B
4;4;4;4;4;2;4;4;4;3;4;4;4;4;4;3;4;4;4;4;4;4;4;4;71;76;76;67;600;30;1;1;55-64;1;Tak;A;A
5;5;5;5;5;5;5;5;5;5;3;3;4;3;3;5;5;3;4;5;5;5;3;5;66;51;35;44;400;38;0;0;55-64;1;Nie;A;C
5;5;5;5;5;4;5;5;4;4;4;2;5;5;1;5;5;3;4;3;5;4;4;4;62;53;41;42;506;20;0;1;45-54;1;Tak;C;B
1;1;1;5;4;4;5;5;4;3;2;3;4;4;2;4;1;2;3;4;1;4;3;3;78;50;49;35;451;10;0;0;35-44;2;Nie;C;C
2;2;4;4;4;4;5;5;4;4;3;3;4;3;2;4;3;4;4;4;4;4;3;4;69;35;67;17;395;8;0;0;35-44;2;Nie;C;B
4;3;4;4;4;4;4;5;3;4;4;2;4;4;2;4;4;5;4;5;4;4;4;4;55;45;33;24;356;14;0;0;35-44;2;Nie;C;A
5;4;4;5;5;5;5;5;5;4;3;5;5;5;5;4;5;4;5;5;5;5;5;5;67;55;66;42;486;20;1;1;45-54;2;Nie;A;B
5;5;4;4;5;4;5;5;5;4;5;3;4;4;3;3;4;2;2;2;5;5;4;2;59;34;42;27;387;1;1;1;25-34;1;Nie;A;D
4;4;4;4;4;4;4;4;3;4;4;3;4;3;3;4;4;3;5;4;4;4;3;4;65;80;78;61;574;10;0;1;25-34;1;Nie;C;A
5;5;5;5;5;4;5;4;4;3;5;5;4;4;4;3;5;4;5;5;5;4;4;5;89;86;62;41;638;25;1;0;55-64;1;Nie;A;A
2;2;4;4;3;4;4;4;4;3;4;3;4;4;3;2;4;4;2;2;3;4;4;2;77;50;53;36;443;12;1;0;35-44;2;Nie;C;C
2;2;2;5;4;2;4;5;4;4;3;2;3;4;2;3;4;2;4;4;2;4;3;4;57;46;53;28;381;20;0;1;45-54;2;Nie;C;A
2;5;5;4;5;4;5;3;5;4;2;1;2;4;3;5;5;4;4;5;5;4;2;5;79;46;65;27;419;10;0;1;25-34;2;Nie;C;C
5;5;5;5;5;5;5;5;5;5;2;5;5;5;5;5;5;4;5;5;5;5;5;5;161;121;109;84;1003;12;1;0;35-44;1;Nie;A;B
4;4;4;4;4;4;4;4;4;4;1;3;5;4;2;4;4;2;1;1;4;4;3;2;66;49;54;28;355;10;1;1;25-34;2;Nie;C;C
4;4;4;4;4;2;2;4;4;2;4;4;4;4;4;4;4;4;4;4;4;2;4;4;159;75;93;53;695;25;0;0;55-64;2;Nie;C;C
4;4;2;5;4;4;4;3;2;2;4;3;4;4;3;4;5;4;4;4;4;3;4;4;62;46;40;28;345;20;0;0;45-54;1;Nie;C;C
1;1;1;1;4;3;5;4;4;3;3;3;3;3;2;1;1;3;2;2;1;4;3;2;83;41;59;39;411;15;0;0;45-54;1;Tak;B;C
1;2;1;2;2;1;1;1;2;2;3;2;2;3;3;1;2;3;2;2;2;1;3;2;87;68;66;38;575;30;1;1;55-64;1;Nie;B;A
4;5;4;4;4;4;5;5;4;4;5;3;4;4;4;4;4;5;4;3;4;4;4;4;80;66;74;46;535;28;1;0;45-54;1;Tak;A;A
